Taxon,TOTL,QUADOFF,SYMPH,%DENTITION,FEN%,AMA,PMA,OMA,MAXI,AVRI,MAXJ,AVJ,CUSPMAX,CURVMAX
Notosuchus terrestris  MUCPv-147 ,17.82,0.128507295,12.68238,32.54769921,10.27501,0.323529,0.440419,0.156863,1.979452,1.355424,0.723145,0.844722,?,?
Araripesuchus gomesii,8.44,0.06042654,16.23223,41.11374408,8.665197,0.188525,0.341584,0.169399,2.056338,?,0.707922,?,?,?
Pakasuchus kapilimai ,6.98,0.040114613,?,34.52722063,17.9323,0.259434,0.389151,0.061321,?,?,?,?,?,?
Baurusuchus salgadoensis,46.33,0.030433844,24.455,27.82214548,10.18875,0.274567,0.388544,0.098025,3.018237,1.854773,0.549218,0.748347,2.053097345,85.778
Baurusuchus pachecoi,62.41,0.02179138,29.40234,24.09870213,8.750758,0.271293,0.362582,0.122634,3.21197,1.66787,0.524264,0.786515,1.60755814,76.11
Campinasuchus dinizi ,36.17,0.017141277,19.93365,30.0248825,10.44766,0.274322,0.399628,0.126316,4.043956,?,0.437249,?,2.354368932,84.34
Doratodon carcharidens,15.06,0.101593625,18.4595,41.43426295,0,0.233538,0.447214,?,2.758242,?,0.586138,?,?,?
Pelagosaurus typus ,25.66,0.02182385,54.40374,65.51052221,?,0.079692,0.275148,0.084404,1.333333,1.001592,0.848165,0.8847,3.076923077,87.709
Steneosaurus bollensis,95.82,0.022750991,51.68023,67.86683365,?,0.103272,0.419961,0.126393,1.513514,0.909622,0.816939,0.901908,?,?
Steneosaurus leedsi,90.46,0.020782666,57.58346,64.73579483,?,0.100432,0.341023,0.117727,1.381625,0.876372,0.840477,0.914561,?,?
Steneosaurus sp.,103.8,0.020038536,50.74181,57.90944123,3.83077,0.119329,0.34592,0.130809,1.904878,1.127665,0.738158,0.873137,?,?
Steneosaurus heberti,131,0.021908397,47.72519,59.60305344,8.748703,0.154467,0.441652,0.167115,1.45039,1.777157,0.8286,0.764219,2.062857143,85.6
Steneosaurus brevior,107.28,0.027311708,?,54.35309471,9.353391,0.15077,0.415986,0.131694,?,?,?,?,?,?
Mystriosaurus brogniarti,73.79,0.036996883,?,59.16790893,?,0.07297,0.206443,0.120318,?,?,?,?,?,?
Teleidosaurus calvadosii ,73.655,0.016020637,40.74401,43.56798588,7.062523,0.143718,0.271374,0.133364,2.535032,1.291142,0.621275,0.85436,?,?
Suchodus brachyrhynchus  V978,57.1,0.04150613,43.67776,42.2591944,0,0.094229,0.172228,0.07126,2.174419,1.651972,0.685168,0.789728,1.150537634,82.87
Suchodus brachyrhynchus  V995,49.28,0.054180195,?,36.85064935,0,0.108431,0.183872,0.127958,3.831169,2.142761,0.456812,0.691187,?,?
Suchodus cultridens ,75.32,0.07063197,50.2257,40.3212958,0,0.098649,0.17017,0.097328,3.791209,2.059269,0.460671,0.707347,?,?
Suchodus durobrivensis,65.71,0.098462943,46.62913,35.67189165,0,0.115979,0.188232,0.10378,4.079498,2.343721,0.434135,0.654075,2.225,85.76
